Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Bone Broth From 'Nom Nom Paleo',american,5.22,1.29,3.2,10/16/2022,17:20:09,4.043377226955848,0.4029990627928772
paleo,"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",south east asian,181.55,28.62,146.14,10/16/2022,17:20:09,6.3432444708430875,0.1958382657844137
paleo,Paleo Pumpkin Pie,american,30.91,302.59,96.76,10/16/2022,17:20:09,0.10215108843290119,3.12718967352549
paleo,Strawberry Guacamole recipes,mexican,9.62,75.78,59.89,10/16/2022,17:20:09,0.12694474868370698,1.2652986258369372
paleo,"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,39.84,54.08,71.55,10/16/2022,17:20:09,0.7366727686248407,0.755824516778242
paleo,Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,68.62,34.15,42.44,10/16/2022,17:20:09,2.009311586776376,0.804646450366391
paleo,Paleo Pumpkin Pie recipes,american,30.03,275.88,97.68,10/16/2022,17:20:09,0.10885128008090446,2.8242954105711444
paleo,Autoimmune Paleo Pesto,italian,4.25,14.15,72.9,10/16/2022,17:20:09,0.3003321320048053,0.19409884638070807
paleo,Baked Banana Chip Encrusted French Toast,french,152.88,1874.52,385.8,10/16/2022,17:20:09,0.08155683505279482,4.858774342212695
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91,274.87,400.01,10/16/2022,17:20:09,2.193428917564967,0.6871561032071619
paleo,Paleo Collard Burrito,mexican,44.62,28.66,78.46,10/16/2022,17:20:09,1.556819371271065,0.3652770166069767
paleo,Paleo Chawanmushi (Savory Egg Custard) recipes,american,61.43,13.29,24.6,10/16/2022,17:20:09,4.621924610638779,0.5402219421974715
paleo,‘paleo' banana bread,american,46.69,192.54,156.48,10/16/2022,17:20:09,0.2424938065139373,1.2304369220544347
paleo,Leftover Turkey Sandwich recipes,american,54.09,34.97,14.1,10/16/2022,17:20:16,1.5467101312516087,2.4799659598610027
paleo,Paleo Pumpkin Waffles,american,51.24,89.63,78.38,10/16/2022,17:20:16,0.5716772098938984,1.1435169237442746
paleo,Fudgy Paleo Brownies,french,64.29,263.65,176.36,10/16/2022,17:20:16,0.24384508308331854,1.4949450275287617
paleo,Magic Wings recipes,american,320.76,28.36,252.82,10/16/2022,17:20:16,11.309897394309086,0.11217422603343867
paleo,Turkey Club Sandwich,american,46.92,39.94,19.6,10/16/2022,17:20:16,1.1747327307778976,2.037651140247946
paleo,Easy Paleo Meatloaf,american,185.99,47.82,260.64,10/16/2022,17:20:16,3.8892954977938565,0.18347075095629622
paleo,Paleo Crepes,french,15.73,15.91,49.16,10/16/2022,17:20:16,0.9886242222361888,0.32363052012774357
paleo,Chocolate Pecan Pie recipes,american,59.86,567.39,320.76,10/16/2022,17:20:16,0.10550043973203664,1.7688871153288588
paleo,Simple Crab Salad recipes,american,82.1,4.75,20.24,10/16/2022,17:20:16,17.280572511050302,0.23467219999011907
paleo,Chocolate Pecan Pie,american,54.7,503.39,320.12,10/16/2022,17:20:16,0.10866304721379605,1.5724991487593754
paleo,Asian Meatballs recipes,indian,167.07,55.11,210.14,10/16/2022,17:20:16,3.031518208706066,0.2622524876154582
paleo,Blueberry French Toast Casserole,french,78.59,290.1,84.95,10/16/2022,17:20:16,0.2709056501011717,3.4149097715153443
paleo,Paleo Spanish Rice,mediterranean,28.67,64.13,37.71,10/16/2022,17:20:23,0.44705368698445375,1.7005648219352443
paleo,Whole30® Sriracha,south east asian,12.16,85.78,2.91,10/16/2022,17:20:23,0.1417563329874914,29.467536928890414
paleo,Banana Cream Pie,american,17.85,215.69,304.25,10/16/2022,17:20:23,0.08275727777236881,0.7089212525184798
paleo,Spicy Salmon Cucumber Bites recipes,nordic,49.84,17.2,75.62,10/16/2022,17:20:23,2.897505958955875,0.22745004694463175
paleo,Blueberry French Toast Casserole recipes,french,78.59,290.1,84.95,10/16/2022,17:20:23,0.2709056501011717,3.4149097715153443
paleo,Paleo Honey Cake,eastern europe,87.32,258.25,259.21,10/16/2022,17:20:23,0.338120665554054,0.9962925956074397
paleo,Chocolate Pumpkin Pie recipes,central europe,44.05,429.69,162.78,10/16/2022,17:20:23,0.10251552860078522,2.6396815353143177
paleo,Paleo Creamy Alfredo,american,16.48,32.46,91.36,10/16/2022,17:20:23,0.5076861464526663,0.3552938343494489
paleo,Paleo Blini recipes,eastern europe,15.5,12.78,23.29,10/16/2022,17:20:23,1.2127376574602928,0.5487098020694688
paleo,Paleo Tzimmes,kosher,16.11,236.88,3.86,10/16/2022,17:20:23,0.06800883143857042,61.35198135198135
paleo,Paleo Pumpkin Bars,american,39.73,169.01,117.95,10/16/2022,17:20:23,0.23507345675725247,1.4328831463912979
paleo,Paleo Fruitcake,american,82.45,271.48,204.91,10/16/2022,17:20:23,0.3037044949738656,1.3248678694652802
paleo,Paleo Chocolate Frosting,american,14.19,85.18,150.26,10/16/2022,17:20:23,0.16658644533405334,0.5668802949534477
paleo,Paleo Crepes recipes,french,27.38,9.57,61.87,10/16/2022,17:20:29,2.8607251070943476,0.1546766659662847
paleo,Paleo Peach Crisp,french,39.58,126.88,97.83,10/16/2022,17:20:29,0.3119458390145096,1.296930420827754
paleo,Paleo Pumpkin Bars,american,36.27,182.51,105.1,10/16/2022,17:20:29,0.19872774791656395,1.736520109228266
paleo,Paleo Honey Cake,american,87.32,258.25,259.24,10/16/2022,17:20:29,0.338120665554054,0.9961773022014265
paleo,Paleo Carrot Soup,american,27.17,116.73,125.14,10/16/2022,17:20:29,0.23275736522431917,0.9327878153442917
